epochs,EmbeddingSimilarity,nll-test,tei,acc,ppl,
1,-0.36817533747723885,6.361944,0.9378317952156067,0,1020.2216,
6,-0.3295426012180885,6.037096,1.04540722767512,0.9375,1020.2216,
10,-0.14000588788342286,6.9487686,2.530750521024068,0.03125,1020.2216,
