epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,acc,ppl,
1,10.720178,7.441417,-0.21503435510202246,1.9748214801152548,0,6726.8167,
6,10.562969,7.2489514,-0.21475022843196706,1.9920844078063964,0.4375,6726.8167,
10,10.552996,7.2919326,-0.20764352832172314,3.8359674493471783,0.46875,6726.8167,
