epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,acc,ppl,
1,10.721059,7.4408646,-0.21510319223100235,1.9844633181889852,0,11759.4696,
6,10.541663,7.2498097,-0.20923900373743434,1.7679272850354513,0.4375,11759.4696,
10,10.436457,7.2877564,-0.20577050242964026,3.728414050738017,0.625,11759.4696,
