epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,acc,ppl,
1,12.172784,40.42925,-0.1965088573073615,1.9016258319218953,0,13132.1719,
6,11.784831,36.225193,-0.31544909107702557,1.5946348945299784,1.0,13132.1719,
10,11.784829,36.49654,-0.31743904604292605,2.913949497540792,1.0,13132.1719,
