epochs,EmbeddingSimilarity,nll-test,tei,acc,PPL,
1,-0.34706971037164425,38.517433,0.9384383837381999,0,1298.513,
2,-0.3595983928302358,38.66712,1.087964415550232,0.125,1298.513,
