epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,
1,10.775991,7.598728,-0.2126788559914403,2.8538146018981934,
3,10.577665,7.4738894,-0.20958604916026657,2.650757205486298,
4,10.5361,7.4805984,-0.2047540837455446,5.1692455569903055,
