epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,acc,ppl,
1,10.534829,7.989137,-0.13330428984006423,1.9804988225301108,0,3273.7598,
6,14.63331,7.8258853,-0.1296256958635492,1.6517211516698203,0.59375,3273.7598,
10,9.977864,8.206214,-0.13391953215792934,3.305062166849772,0.0625,3273.7598,
